 ,Slice,Name,Area_raw,Aspect Ratio_Maj_Min,Mobility
151,150,Demo_video (2),6602,1.643,83
152,151,Demo_video (2),6609,1.629,49
153,152,Demo_video (2),6617,1.622,58
154,153,Demo_video (2),6610,1.620,95
155,154,Demo_video (2),6588,1.640,174
156,155,Demo_video (2),6655,1.637,175
157,156,Demo_video (2),6700,1.637,5
158,157,Demo_video (2),6700,1.637,201
159,158,Demo_video (2),6822,1.634,218
160,159,Demo_video (2),7031,1.631,55
161,160,Demo_video (2),6977,1.659,130
162,161,Demo_video (2),6772,1.718,3
163,162,Demo_video (2),6768,1.719,220
164,163,Demo_video (2),6513,1.786,7
165,164,Demo_video (2),6518,1.787,180
166,165,Demo_video (2),6001,1.894,68
167,166,Demo_video (2),5934,1.865,54
168,167,Demo_video (2),5867,1.828,128
169,168,Demo_video (2),5852,1.781,88
170,169,Demo_video (2),5764,1.721,0
171,170,Demo_video (2),5764,1.721,93
172,171,Demo_video (2),5724,1.708,0
173,172,Demo_video (2),5724,1.708,50
174,173,Demo_video (2),5655,1.721,19
175,174,Demo_video (2),5640,1.730,0
176,175,Demo_video (2),5640,1.730,94
177,176,Demo_video (2),5606,1.763,1
178,177,Demo_video (2),5604,1.762,94
179,178,Demo_video (2),5563,1.832,130
180,179,Demo_video (2),5544,1.838,41
181,180,Demo_video (2),5545,1.866,85
182,181,Demo_video (2),5522,1.924,0
183,182,Demo_video (2),5522,1.924,17
184,183,Demo_video (2),5512,1.941,46
185,184,Demo_video (2),5501,1.961,110
186,185,Demo_video (2),5508,1.969,15
187,186,Demo_video (2),5506,1.978,41
188,187,Demo_video (2),5505,1.999,0
189,188,Demo_video (2),5505,1.999,38
190,189,Demo_video (2),5515,2.018,0
191,190,Demo_video (2),5515,2.018,68
192,191,Demo_video (2),5499,2.031,72
193,192,Demo_video (2),5478,2.041,17
194,193,Demo_video (2),5472,2.052,2
195,194,Demo_video (2),5470,2.052,0
196,195,Demo_video (2),5470,2.052,122
197,196,Demo_video (2),5506,2.100,43
198,197,Demo_video (2),5517,2.124,92
199,198,Demo_video (2),5522,2.153,0
200,199,Demo_video (2),5522,2.153,88
201,200,Demo_video (2),5527,2.154,44
202,201,Demo_video (2),5525,2.159,0
203,202,Demo_video (2),5525,2.159,26
204,203,Demo_video (2),5527,2.179,109
205,204,Demo_video (2),5533,2.191,0
206,205,Demo_video (2),5533,2.191,74
207,206,Demo_video (2),5533,2.242,0
208,207,Demo_video (2),5533,2.242,128
209,208,Demo_video (2),5552,2.305,76
210,209,Demo_video (2),5570,2.345,44
211,210,Demo_video (2),5578,2.370,103
212,211,Demo_video (2),5606,2.389,26
213,212,Demo_video (2),5596,2.403,12
214,213,Demo_video (2),5580,2.417,0
215,214,Demo_video (2),5580,2.417,23
216,215,Demo_video (2),5573,2.434,83
217,216,Demo_video (2),5559,2.454,2
218,217,Demo_video (2),5560,2.453,88
219,218,Demo_video (2),5587,2.485,2
220,219,Demo_video (2),5587,2.485,130
221,220,Demo_video (2),5596,2.554,2
222,221,Demo_video (2),5598,2.555,81
223,222,Demo_video (2),5612,2.571,34
224,223,Demo_video (2),5615,2.586,107
225,224,Demo_video (2),5631,2.622,50
226,225,Demo_video (2),5633,2.654,75
227,226,Demo_video (2),5649,2.666,55
228,227,Demo_video (2),5629,2.685,91
229,228,Demo_video (2),5652,2.694,125
230,229,Demo_video (2),5662,2.731,0
231,230,Demo_video (2),5662,2.731,100
232,231,Demo_video (2),5633,2.766,98
233,232,Demo_video (2),5613,2.789,3
234,233,Demo_video (2),5615,2.789,118
235,234,Demo_video (2),5650,2.799,121
236,235,Demo_video (2),5651,2.797,72
237,236,Demo_video (2),5625,2.798,4
238,237,Demo_video (2),5627,2.798,83
239,238,Demo_video (2),5615,2.771,117
240,239,Demo_video (2),5612,2.717,61
241,240,Demo_video (2),5623,2.697,42
242,241,Demo_video (2),5635,2.692,34
243,242,Demo_video (2),5639,2.669,145
244,243,Demo_video (2),5677,2.555,104
245,244,Demo_video (2),5669,2.503,168
246,245,Demo_video (2),5705,2.388,4
247,246,Demo_video (2),5707,2.389,0
248,247,Demo_video (2),5707,2.389,152
249,248,Demo_video (2),5725,2.312,101
250,249,Demo_video (2),5742,2.297,44
251,250,Demo_video (2),5744,2.275,54
252,251,Demo_video (2),5722,2.238,6
253,252,Demo_video (2),5724,2.239,57
254,253,Demo_video (2),5722,2.206,43
255,254,Demo_video (2),5718,2.184,36
256,255,Demo_video (2),5712,2.177,35
257,256,Demo_video (2),5707,2.179,21
258,257,Demo_video (2),5702,2.166,82
259,258,Demo_video (2),5721,2.144,0
260,259,Demo_video (2),5721,2.144,47
261,260,Demo_video (2),5732,2.127,29
262,261,Demo_video (2),5725,2.124,16
263,262,Demo_video (2),5723,2.114,5
264,263,Demo_video (2),5725,2.114,0
265,264,Demo_video (2),5725,2.114,115
266,265,Demo_video (2),5722,2.105,22
267,266,Demo_video (2),5721,2.110,23
268,267,Demo_video (2),5727,2.099,1
269,268,Demo_video (2),5728,2.099,6
270,269,Demo_video (2),5720,2.099,60
271,270,Demo_video (2),5688,2.080,90
272,271,Demo_video (2),5705,2.078,29
273,272,Demo_video (2),5707,2.061,20
274,273,Demo_video (2),5715,2.056,0
275,274,Demo_video (2),5715,2.056,11
276,275,Demo_video (2),5724,2.051,0
277,276,Demo_video (2),5724,2.051,107
278,277,Demo_video (2),5697,2.058,121
279,278,Demo_video (2),5693,2.058,0
280,279,Demo_video (2),5693,2.058,22
281,280,Demo_video (2),5693,2.057,16
282,281,Demo_video (2),5688,2.054,7
283,282,Demo_video (2),5689,2.051,0
284,283,Demo_video (2),5689,2.051,11
285,284,Demo_video (2),5694,2.051,78
286,285,Demo_video (2),5672,2.060,38
287,286,Demo_video (2),5685,2.057,13
288,287,Demo_video (2),5672,2.054,0
289,288,Demo_video (2),5672,2.054,0
290,289,Demo_video (2),5672,2.054,6
291,290,Demo_video (2),5661,2.053,38
292,291,Demo_video (2),5681,2.038,110
293,292,Demo_video (2),5684,2.037,6
294,293,Demo_video (2),5682,2.037,0
295,294,Demo_video (2),5682,2.037,25
296,295,Demo_video (2),5698,2.029,5
297,296,Demo_video (2),5694,2.028,12
298,297,Demo_video (2),5697,2.028,3
299,298,Demo_video (2),5694,2.029,0
300,299,Demo_video (2),5694,2.029,4
301,300,Demo_video (2),5695,2.032,26
302,301,Demo_video (2),5697,2.030,7
303,302,Demo_video (2),5698,2.027,22
304,303,Demo_video (2),5707,2.015,2
305,304,Demo_video (2),5706,2.015,5
306,305,Demo_video (2),5695,2.017,0
307,306,Demo_video (2),5695,2.017,10
308,307,Demo_video (2),5686,2.010,27
309,308,Demo_video (2),5694,1.998,28
310,309,Demo_video (2),5706,1.983,1
311,310,Demo_video (2),5707,1.983,40
312,311,Demo_video (2),5696,1.981,112
313,312,Demo_video (2),5708,1.972,6
314,313,Demo_video (2),5709,1.971,0
315,314,Demo_video (2),5709,1.971,34
316,315,Demo_video (2),5742,1.956,29
317,316,Demo_video (2),5724,1.946,0
318,317,Demo_video (2),5723,1.946,8
319,318,Demo_video (2),5728,1.947,100
320,319,Demo_video (2),5705,1.956,51
321,320,Demo_video (2),5721,1.956,0
322,321,Demo_video (2),5721,1.956,66
323,322,Demo_video (2),5707,1.963,4
324,323,Demo_video (2),5700,1.967,20
325,324,Demo_video (2),5691,1.960,0
326,325,Demo_video (2),5691,1.960,49
327,326,Demo_video (2),5686,1.947,15
328,327,Demo_video (2),5682,1.951,21
329,328,Demo_video (2),5683,1.950,119
330,329,Demo_video (2),5689,1.956,12
331,330,Demo_video (2),5685,1.961,32
332,331,Demo_video (2),5687,1.955,0
333,332,Demo_video (2),5687,1.955,25
334,333,Demo_video (2),5675,1.967,11
335,334,Demo_video (2),5670,1.975,5
336,335,Demo_video (2),5665,1.977,0
337,336,Demo_video (2),5665,1.977,19
338,337,Demo_video (2),5676,1.976,32
339,338,Demo_video (2),5665,1.992,27
340,339,Demo_video (2),5668,1.986,0
341,340,Demo_video (2),5668,1.986,41
342,341,Demo_video (2),5674,2.003,5
343,342,Demo_video (2),5676,2.004,0
344,343,Demo_video (2),5676,2.004,54
345,344,Demo_video (2),5704,2.020,120
346,345,Demo_video (2),5703,2.035,46
347,346,Demo_video (2),5725,2.035,3
348,347,Demo_video (2),5726,2.036,0
349,348,Demo_video (2),5726,2.036,8
350,349,Demo_video (2),5728,2.032,111
351,350,Demo_video (2),5724,2.024,14
352,351,Demo_video (2),5726,2.026,9
353,352,Demo_video (2),5726,2.027,5
354,353,Demo_video (2),5719,2.030,86
355,354,Demo_video (2),5725,2.037,0
356,355,Demo_video (2),5725,2.037,29
357,356,Demo_video (2),5694,2.053,0
358,357,Demo_video (2),5694,2.053,0
359,358,Demo_video (2),5694,2.053,39
360,359,Demo_video (2),5702,2.062,40
361,360,Demo_video (2),5713,2.077,36
362,361,Demo_video (2),5709,2.080,4
363,362,Demo_video (2),5708,2.081,0
364,363,Demo_video (2),5708,2.081,3
365,364,Demo_video (2),5696,2.084,12
366,365,Demo_video (2),5706,2.088,12
367,366,Demo_video (2),5713,2.090,0
368,367,Demo_video (2),5713,2.090,14
369,368,Demo_video (2),5717,2.080,2
370,369,Demo_video (2),5707,2.081,0
371,370,Demo_video (2),5707,2.081,8
372,371,Demo_video (2),5694,2.082,0
373,372,Demo_video (2),5694,2.082,0
374,373,Demo_video (2),5694,2.082,3
375,374,Demo_video (2),5696,2.082,25
376,375,Demo_video (2),5717,2.067,31
377,376,Demo_video (2),5724,2.058,25
378,377,Demo_video (2),5737,2.043,0
379,378,Demo_video (2),5737,2.043,101
380,379,Demo_video (2),5747,2.046,76
381,380,Demo_video (2),5760,2.052,81
382,381,Demo_video (2),5766,2.079,0
383,382,Demo_video (2),5766,2.079,86
384,383,Demo_video (2),5770,2.109,271
385,384,Demo_video (2),5840,2.207,152
386,385,Demo_video (2),5884,2.253,2
387,386,Demo_video (2),5883,2.253,214
388,387,Demo_video (2),5944,2.353,88
389,388,Demo_video (2),5933,2.395,102
390,389,Demo_video (2),5934,2.448,3
391,390,Demo_video (2),5934,2.448,152
392,391,Demo_video (2),5932,2.556,65
393,392,Demo_video (2),5972,2.559,79
394,393,Demo_video (2),5995,2.542,143
395,394,Demo_video (2),6017,2.504,107
396,395,Demo_video (2),6056,2.447,75
397,396,Demo_video (2),6079,2.410,0
398,397,Demo_video (2),6079,2.410,159
399,398,Demo_video (2),6112,2.467,86
400,399,Demo_video (2),6104,2.538,2
401,400,Demo_video (2),6106,2.537,0
402,401,Demo_video (2),6106,2.537,276
403,402,Demo_video (2),6094,2.758,67
